PC1,PC2,PC3,lv_feeder_unique_id,cluster_k2,cluster_k3,Summer_aligned_cluster_k2,Summer_aligned_cluster_k3
-1.2464772139884996,-2.185591004961404,-0.8435194090679027,SSEN-460001515002,1,2,1,2
-1.8794962181079453,-1.2028856449823648,0.41258791331713146,SSEN-460001515003,1,2,1,2
-1.880977412367543,-2.0265612677351186,-0.43079755832993033,SSEN-460001515004,1,2,1,2
-0.6185538539034474,-2.362430413234671,-0.5579491244871493,SSEN-460001515005,1,2,1,2
-2.2676598522669758,-1.1281980773467535,0.14625094461670196,SSEN-460200307001,1,2,1,2
-0.6814809686692405,-1.044783190653813,0.4851341268017068,SSEN-460200307002,1,2,1,2
-2.2039013860232557,0.3415724752312645,1.1360793411423447,SSEN-460200307006,1,2,1,2
-1.941787573421052,-1.164195333447493,0.16904967383394903,SSEN-460200307007,1,2,1,2
1.375891202038795,-1.7861936068100375,-0.20206151971906447,SSEN-460200307008,0,0,0,0
-1.5371623882924528,-1.9218534447453657,-0.3222571781952337,SSEN-460200307009,1,2,1,2
-2.5873204690662046,-1.1788085285391932,-0.10396265740440383,SSEN-460200307011,1,2,1,2
-1.2034894633298328,0.5257988492768287,0.12114527600835988,SSEN-460200618001,1,2,1,2
-0.5469589888178124,-0.699631514837914,0.3521589514233914,SSEN-460200618002,1,2,1,2
2.955548734736798,-0.5750873807057452,0.32964106376656227,SSEN-460200618003,0,0,0,0
-0.377108304080643,-0.8556724032980086,0.05470575890579939,SSEN-460200618004,1,2,1,2
-0.8152791071916421,-1.0171123656794545,-0.20653515885841123,SSEN-460200618005,1,2,1,2
2.296924283300402,-0.3744344289848772,1.1308832639248743,SSEN-460200618006,0,0,0,0
1.0928193529856665,-1.1137110132862453,-0.3823903582743282,SSEN-460200618007,0,0,0,0
1.0647238436892381,-0.11316651917253737,1.0249655471905952,SSEN-460500501301,0,0,0,0
0.22325523680327927,-0.10014083932421225,-1.17260103528805,SSEN-460500501302,0,0,0,0
2.4516093866874327,-0.7803413772246194,-0.24948339615204562,SSEN-460500501303,0,0,0,0
-2.9639018693310772,1.0071057948864888,1.39723009725689,SSEN-460501021001,1,2,1,2
-3.08518030812915,0.4557416448300951,0.3402156551855301,SSEN-460501021002,1,2,1,2
-0.5969929784617387,-1.0529627347272084,-0.3737056133861978,SSEN-460501021003,1,2,1,2
-2.1854620837344334,0.7765413313669409,-0.07776152372823887,SSEN-460501021004,1,2,1,2
1.0092001099894647,-0.6526014270609188,-0.792333557593714,SSEN-460501721001,0,0,0,0
-2.9549334162633634,1.6764250871780517,-0.9238546148429421,SSEN-460501721004,1,2,1,2
-2.5737549149850834,1.1198509538005235,-0.021543557884408638,SSEN-460501721005,1,2,1,2
1.6059574727242723,-0.37158274683748865,0.12299579326020946,SSEN-460501724001,0,0,0,0
2.1535068347723123,-0.3151222734192282,0.34618541069209824,SSEN-460501724002,0,0,0,0
-1.46930133613208,-1.0346204409630944,0.6746064080359236,SSEN-460501724003,1,2,1,2
0.30732968682179773,-1.4010604957726285,-0.11054184901716659,SSEN-460501724004,0,0,0,0
-1.345062412175544,-1.2743894390738397,-1.2696425138984546,SSEN-460600102001,1,2,1,2
3.358525928189976,1.3503010997853346,-0.48836989505580025,SSEN-460600102003,0,0,0,0
0.06040083661401898,0.16698311815531078,-1.7844236011641441,SSEN-460600102004,0,0,0,0
-0.7882698629469738,-0.955271337573594,-0.58558969564799,SSEN-460600103002,1,2,1,2
-2.5760288066754975,-1.016063178347748,0.6724498279589962,SSEN-460600103003,1,2,1,2
