PC1,PC2,PC3,lv_feeder_unique_id,cluster_k2,cluster_k3,Autumn_aligned_cluster_k2,Autumn_aligned_cluster_k3
1.009238210702469,-0.5376806058227955,-0.3951444807064823,SSEN-460200618004,1,2,1,2
-0.12317072932011444,-0.271756518290222,0.08185904449932314,SSEN-460200618005,1,2,1,2
4.546291177018356,0.5854165649725656,1.6177859865802602,SSEN-460200618006,0,0,0,0
2.2443032648949592,0.0823846974520396,0.39553013373339485,SSEN-460200618007,0,0,0,0
2.220234345503848,0.15858220008550566,0.6692822164411238,SSEN-460500501301,0,0,0,0
0.7718443799936048,0.36386500882034883,-1.1159097139124334,SSEN-460500501302,1,2,1,2
3.4500168162642195,0.1367776012327549,0.2069294051966956,SSEN-460500501303,0,0,0,0
-2.749498870324074,0.6887201438208342,1.536742477482455,SSEN-460501021001,1,2,1,2
-2.6648185139729295,1.0141262315392847,0.25229034034876613,SSEN-460501021002,1,2,1,2
0.42242271068394505,-0.040720032228019835,-0.32706593627673125,SSEN-460501021003,1,2,1,2
-2.1159560115289855,2.0323208003209055,0.30031992603882735,SSEN-460501021004,1,2,1,2
3.298572963826286,1.0799363813413014,-0.3995558582629684,SSEN-460501721001,0,0,0,0
-4.771094877118982,13.225500416238772,0.6271630237565182,SSEN-460501721004,1,1,1,1
-2.334690450256159,4.154593008855247,0.1047852285320855,SSEN-460501721005,1,2,1,2
3.7116329400495505,0.801686315397881,0.7355507622572188,SSEN-460501724001,0,0,0,0
4.378044583221937,0.6575257214826506,0.8015089035901031,SSEN-460501724002,0,0,0,0
-0.05996621282324926,-0.309613099639782,0.5356566582361166,SSEN-460501724003,1,2,1,2
2.119825906588046,-0.4898686598091137,0.14502891186927744,SSEN-460501724004,0,0,0,0
-1.0443422270544702,-0.3523926358346001,-1.2017978344951892,SSEN-460600102001,1,2,1,2
5.912326060352686,2.818532731198141,-0.2773303947513982,SSEN-460600102003,0,0,0,0
1.5300042824788973,1.6291402124589645,-1.8980170838034431,SSEN-460600102004,0,0,0,0
-13.295699851178439,9.813226465829414,19.32678517915048,SSEN-460600103002,1,1,1,1
-2.069701913429725,-0.6735990627465674,0.5221669309642253,SSEN-460600103003,1,2,1,2
3.971006658935301,0.611969696516702,0.2629792887614934,SSEN-460600103006,0,0,0,0
1.0036963865127555,0.2842716377165929,-0.36445815744174676,SSEN-460600105004,1,2,1,2
0.08423163160386483,-0.352064853382984,-0.581023155951457,SSEN-460600105005,1,2,1,2
-2.302305909367547,-1.219816996370189,-1.0246491051874724,SSEN-460600208001,1,2,1,2
0.3780413294050905,0.532007268270405,-1.9615821867530918,SSEN-460600208002,1,2,1,2
-0.6976631306373854,0.8340235976910125,-0.7846407357500491,SSEN-460600208003,1,2,1,2
1.7772222724821567,2.0960333079203552,-0.27523850517217674,SSEN-460600434001,0,0,0,0
0.9241085204777502,1.0292635289264231,0.5603739540694467,SSEN-460600434002,1,2,1,2
