lv_feeder_unique_id,avg_daily_consumption_per_device,std_daily_consumption_per_device,avg_total_consumption_daily,std_total_consumption_daily,avg_max_consumption_daily,std_max_consumption_daily,max_to_mean_ratio,std_to_mean_ratio,per_device_peak_ratio,max_to_min_ratio,weekday_weekend_ratio,mean_daily_time_at_peak,is_anomalous,anomaly_type,anomaly_intensity,anomaly_id
SSEN-462600309002,0.14584475741232353,1.5622996775588605,-0.8344889544869849,-0.42588973303641336,-0.6206249866530904,-0.4290740536608746,4.259656888034504,4.304291863013227,1.2767475306642413,3.9716394441123946,1.1694337616438237,-0.4135110599233308,0,,,
SSEN-462600309003,0.39183978868946295,0.8290348601761788,-0.9376908985586734,-0.946648018222442,-0.9993160878086426,-0.9469816959082505,0.8940250865539907,1.2060334026743667,0.6184210596443159,1.1927243937495784,1.959387381768634,-0.048691864107851264,0,,,
SSEN-462600309004,-0.35544284454605685,-0.5869908357030229,1.1208377881467515,0.8737631920486489,1.0053297181912637,0.8742108644549923,-1.1086050543332155,-1.1413553121690563,-0.572761445426041,-0.7331733543444782,0.38507877414202835,0.029858942054058434,0,,,
SSEN-462600309005,-0.6029939012345861,-0.49253936449388797,0.2812409149395669,0.4367735123362842,0.3628125513018006,0.4372748292338694,-0.30497853452017004,-0.18777729209346464,-0.5883004264097405,-0.23169596117730848,-0.23532309906931076,0.15825546893165637,0,,,
SSEN-462600310001,0.03723654652983221,-0.1818007063447237,0.24975718025988847,0.21998484616756916,0.2659577810548865,0.2175433752764905,-0.46382718412195684,-0.5921462082284316,-0.10279957384799232,-0.4482094751766839,-0.28619686448322124,-0.5544636919964574,1,smoothed_profile,0.05,SSEN-462600310001-smoothed_profile-0.05
SSEN-462600310002,-0.26892280162167004,0.20923417590975543,0.4751369297877236,1.4447611255130515,1.490063172914912,1.442729646072819,2.8108867599303418,1.4515985273518954,0.42287070263243787,2.1875994619656005,0.4207773654358877,0.13180459310117065,0,,,
SSEN-462600310003,-0.43496963529318255,-0.5127010982913933,0.22737701805749821,0.14937028669623664,0.17652114570430943,0.14941644575872493,-0.7127775416364881,-0.6900269764457384,-0.545095945489521,-0.6190828094418027,-0.055153664023718095,0.1616423446271551,0,,,
SSEN-462600434001,1.383340683159384,1.2593893109874306,-0.59211071993333,-0.5388525196125752,-0.5351003125150469,-0.5394680437899322,0.6933983376780409,0.5330975736659334,1.5436882145224293,0.4556656072258839,0.08016750107778922,0.10880595198213097,0,,,
SSEN-462600434002,-0.5474244786982774,-0.005840408350476523,-0.8464750163116446,-0.7641792508308684,-0.8477442459903106,-0.7641014366788728,0.9466164265897467,1.3942738709196638,-0.25126510379286066,0.9310005597857325,1.5071241997851001,0.10911675921263791,0,,,
SSEN-462600434003,0.309263624447111,0.19841667249418143,-0.5744685468542376,-0.628491567414384,-0.631330919483433,-0.6281949304043299,-0.22706956217535962,-0.13470706532909127,0.21968120132961275,-0.03916140349125739,-0.484343536652742,0.13926403098266596,0,,,
SSEN-462600434004,-0.07372263741464134,-0.11882828456259718,-0.40070863484805064,-0.4336573105991778,-0.4371460631369812,-0.4331337702007487,-0.21734781125156136,-0.16592057951499756,-0.12314087147347456,-0.11095267829489808,-0.641790985195107,0.1616423446271551,0,,,
SSEN-462600434005,0.04636791850220537,-0.2565770690155834,0.4167080139683333,0.29908563724796067,0.36856715785018795,0.29931240913644114,-0.7466680399272805,-0.8047629394254372,-0.16936843932437165,-0.4554027058797271,-0.9041390527973037,0.17656122039014735,0,,,
